openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[36]: /home/crab/windows/ASIC/ExperiarSoC/openlane/Peripheral_WBPeripheralBusInterface/../../verilog/rtl/Peripherals/WBPeripheralBusInterface/WBPeripheralBusInterface_top.v:99: Warning: Identifier `\STATE_WRITE' is implicitly declared.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[37]: /home/crab/windows/ASIC/ExperiarSoC/openlane/Peripheral_WBPeripheralBusInterface/../../verilog/rtl/Peripherals/WBPeripheralBusInterface/WBPeripheralBusInterface_top.v:100: Warning: Identifier `\STATE_READ' is implicitly declared.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[149]: Warning: Wire WBPeripheralBusInterface.\STATE_WRITE is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[150]: Warning: Wire WBPeripheralBusInterface.\STATE_READ is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[874]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[993]: Warning: Wire WBPeripheralBusInterface.\wb_stall_o is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1004]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [21] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1005]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [20] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1006]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [19] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1007]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [18] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1008]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [17] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1009]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [16] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1010]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [15] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1011]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [14] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1012]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [13] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1013]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [12] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1014]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [11] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1015]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [10] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1016]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [9] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1017]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [8] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1018]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [7] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1019]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [6] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1020]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [5] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1021]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [4] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1022]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [3] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1023]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [2] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1024]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [1] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1025]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [0] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1026]: Warning: Wire WBPeripheralBusInterface.\wb_ack_o is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1027]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_we is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1028]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_oe is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1029]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [31] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1030]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [30] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1031]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [29] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1032]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [28] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1033]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [27] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1034]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [26] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1035]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [25] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1036]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [24] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1037]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [23] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1038]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [22] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1039]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [21] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1040]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [20] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1041]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [19] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1042]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [18] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1043]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [17] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1044]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [16] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1045]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [15] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1046]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [14] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1047]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [13] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1048]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [12] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1049]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [11] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1050]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [10] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1051]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [9] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1052]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [8] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1053]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [7] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1054]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [6] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1055]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [5] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1056]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [4] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1057]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [3] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1058]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [2] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1059]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [1] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1060]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_dataWrite [0] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1061]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_byteSelect [3] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1062]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_byteSelect [2] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1063]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_byteSelect [1] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1064]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_byteSelect [0] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1065]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [23] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1066]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [22] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1067]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [21] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1068]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [20] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1069]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [19] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1070]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [18] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1071]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [17] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1072]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [16] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1073]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [15] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1074]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [14] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1075]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [13] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1076]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [12] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1077]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [11] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1078]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [10] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1079]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [9] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1080]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [8] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1081]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [7] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1082]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [6] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1083]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [5] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1084]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [4] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1085]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [3] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1086]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [2] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1087]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [1] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1088]: Warning: Wire WBPeripheralBusInterface.\peripheralBus_address [0] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1124]: Warnings: 100 unique messages, 100 total
