openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1799]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1965]: Warning: Wire PWM.\requestOutput is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1982]: Warning: Wire PWM.\pwm_en [15] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1983]: Warning: Wire PWM.\pwm_en [14] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1984]: Warning: Wire PWM.\pwm_en [13] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1985]: Warning: Wire PWM.\pwm_en [12] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1986]: Warning: Wire PWM.\pwm_en [11] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1987]: Warning: Wire PWM.\pwm_en [10] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1988]: Warning: Wire PWM.\pwm_en [9] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1989]: Warning: Wire PWM.\pwm_en [8] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1990]: Warning: Wire PWM.\pwm_en [7] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1991]: Warning: Wire PWM.\pwm_en [6] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1992]: Warning: Wire PWM.\pwm_en [5] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1993]: Warning: Wire PWM.\pwm_en [4] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1994]: Warning: Wire PWM.\pwm_en [3] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1995]: Warning: Wire PWM.\pwm_en [2] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1996]: Warning: Wire PWM.\pwm_en [1] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1997]: Warning: Wire PWM.\pwm_en [0] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1998]: Warning: Wire PWM.\peripheralBus_dataOut [31] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1999]: Warning: Wire PWM.\peripheralBus_dataOut [30] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2000]: Warning: Wire PWM.\peripheralBus_dataOut [29] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2001]: Warning: Wire PWM.\peripheralBus_dataOut [28] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2002]: Warning: Wire PWM.\peripheralBus_dataOut [27] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2003]: Warning: Wire PWM.\peripheralBus_dataOut [26] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2004]: Warning: Wire PWM.\peripheralBus_dataOut [25] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2005]: Warning: Wire PWM.\peripheralBus_dataOut [24] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2006]: Warning: Wire PWM.\peripheralBus_dataOut [23] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2007]: Warning: Wire PWM.\peripheralBus_dataOut [22] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2008]: Warning: Wire PWM.\peripheralBus_dataOut [21] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2009]: Warning: Wire PWM.\peripheralBus_dataOut [20] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2010]: Warning: Wire PWM.\peripheralBus_dataOut [19] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2011]: Warning: Wire PWM.\peripheralBus_dataOut [18] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2012]: Warning: Wire PWM.\peripheralBus_dataOut [17] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2013]: Warning: Wire PWM.\peripheralBus_dataOut [16] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2014]: Warning: Wire PWM.\peripheralBus_dataOut [15] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2015]: Warning: Wire PWM.\peripheralBus_dataOut [14] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2016]: Warning: Wire PWM.\peripheralBus_dataOut [13] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2017]: Warning: Wire PWM.\peripheralBus_dataOut [12] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2018]: Warning: Wire PWM.\peripheralBus_dataOut [11] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2019]: Warning: Wire PWM.\peripheralBus_dataOut [10] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2020]: Warning: Wire PWM.\peripheralBus_dataOut [9] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2021]: Warning: Wire PWM.\peripheralBus_dataOut [8] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2022]: Warning: Wire PWM.\peripheralBus_dataOut [7] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2023]: Warning: Wire PWM.\peripheralBus_dataOut [6] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2024]: Warning: Wire PWM.\peripheralBus_dataOut [5] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2025]: Warning: Wire PWM.\peripheralBus_dataOut [4] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2026]: Warning: Wire PWM.\peripheralBus_dataOut [3] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2027]: Warning: Wire PWM.\peripheralBus_dataOut [2] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2028]: Warning: Wire PWM.\peripheralBus_dataOut [1] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2029]: Warning: Wire PWM.\peripheralBus_dataOut [0] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2030]: Warning: Wire PWM.\peripheralBus_busy is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[2107]: Warnings: 66 unique messages, 66 total
